# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 43610.68750000  9.15824413
0.00100000 43609.91015625  15.69956779
0.00200000 43607.07812500  19.62318611
0.00300000 43602.18750000  36.62583923
0.00400000 43595.43750000  49.04486847
0.00500000 43586.79296875  43.15092850
0.00600000 43576.28906250  59.48163605
0.00700000 43563.81640625  57.50423813
0.00800000 43549.34765625  82.30827332
0.00900000 43533.05468750  71.82954407
0.01000000 43514.83203125  100.51927185
0.01100000 43494.65234375  93.94845581
0.01200000 43472.67187500  101.72605133
0.01300000 43448.78515625  100.36669922
0.01400000 43422.91796875  117.24188232
0.01500000 43395.22265625  166.63766479
0.01600000 43365.63671875  110.58238220
0.01700000 43334.21484375  187.20381165
0.01800000 43300.85156250  197.45188904
0.01900000 43265.58203125  181.71545410
0.02000000 43228.54687500  163.40391541
0.02100000 43189.59375000  185.28337097
0.02200000 43148.76953125  148.86326599
0.02300000 43106.17578125  217.25514221
0.02400000 43061.64453125  274.51797485
0.02500000 43015.37890625  268.41595459
0.02600000 42967.25781250  208.82087708
0.02700000 42917.30078125  180.25267029
0.02800000 42865.56250000  205.11172485
0.02900000 42812.05468750  211.91967773
0.03000000 42756.79296875  298.22863770
0.03100000 42699.70312500  225.45443726
0.03200000 42640.82421875  274.39370728
0.03300000 42580.22265625  260.59097290
0.03400000 42517.89453125  312.50653076
0.03500000 42453.83984375  229.25073242
0.03600000 42387.97265625  352.87988281
0.03700000 42320.46484375  361.83996582
0.03800000 42251.26953125  321.32092285
0.03900000 42180.45312500  278.39099121
0.04000000 42107.82421875  284.85943604
0.04100000 42033.51953125  370.73565674
0.04200000 41957.68359375  270.62707520
0.04300000 41880.08984375  304.04946899
0.04400000 41800.91406250  310.37182617
0.04500000 41720.19531250  374.23016357
0.04600000 41637.80468750  410.96517944
0.04700000 41553.84765625  388.94403076
0.04800000 41468.29296875  457.18792725
0.04900000 41381.18750000  310.35891724
0.05000000 41292.59375000  347.47717285
0.05100000 41202.40625000  353.51666260
0.05200000 41110.78906250  424.88000488
0.05300000 41017.56250000  365.46649170
0.05400000 40922.98046875  405.13751221
0.05500000 40826.85546875  377.24017334
0.05600000 40729.21093750  487.52865601
0.05700000 40630.22265625  530.22442627
0.05800000 40529.79687500  358.68872070
0.05900000 40428.03515625  436.62280273
0.06000000 40324.82031250  405.86932373
0.06100000 40220.21093750  374.04797363
0.06200000 40114.30078125  416.98818970
0.06300000 40007.08593750  422.47482300
0.06400000 39898.46875000  505.71310425
0.06500001 39788.57421875  630.25103760
0.06600000 39677.37890625  638.01226807
0.06700000 39565.00390625  443.91934204
0.06800000 39451.31640625  449.15325928
0.06900001 39336.50390625  578.24664307
0.07000000 39220.36718750  501.23629761
0.07100000 39103.06250000  464.54440308
0.07200000 38984.53906250  554.94494629
0.07300001 38864.97265625  647.10186768
0.07400000 38744.22265625  697.39599609
0.07500000 38622.35546875  484.32437134
0.07600001 38499.37500000  622.53491211
0.07700001 38375.35156250  718.38665771
0.07800000 38250.23437500  815.87750244
0.07900000 38124.03515625  548.98614502
0.08000001 37996.95703125  507.82937622
0.08100000 37868.79296875  698.67926025
0.08200000 37739.61328125  563.82983398
0.08300000 37609.50390625  473.87976074
0.08400001 37478.50000000  716.77636719
0.08500000 37346.47656250  819.00823975
0.08600000 37213.66796875  728.45758057
0.08700000 37079.94140625  636.29180908
0.08800001 36945.26953125  591.86328125
0.08900000 36809.85937500  695.70635986
0.09000000 36673.57812500  500.59436035
0.09100001 36536.52343750  655.46527100
0.09200001 36398.61718750  609.31292725
0.09300000 36260.00000000  664.64581299
0.09400000 36120.66015625  669.13525391
0.09500001 35980.58203125  518.12042236
0.09600000 35839.77343750  573.61560059
0.09700000 35698.42187500  682.19683838
0.09800000 35556.22656250  528.01000977
0.09900001 35413.55859375  584.32373047
0.10000000 35270.16015625  641.21154785
0.10100000 35126.19531250  591.17388916
0.10200001 34981.61718750  702.60583496
0.10300001 34836.51953125  597.79473877
0.10400000 34690.85546875  546.38098145
0.10500000 34544.77343750  768.96667480
0.10600001 34398.07421875  607.29803467
0.10700001 34250.96093750  610.35217285
0.10800000 34103.33984375  613.34857178
0.10900000 33955.31640625  672.31530762
0.11000001 33806.89062500  562.88476562
0.11100001 33658.03515625  622.00054932
0.11200000 33508.80468750  738.36651611
0.11300001 33359.24609375  684.53173828
0.11400001 33209.28515625  687.43225098
0.11500000 33059.05078125  690.27301025
0.11600000 32908.58593750  808.56396484
0.11700001 32757.72851562  637.79302979
0.11800001 32606.63085938  931.24542236
0.11900000 32455.38671875  701.03637695
0.12000000 32303.80078125  820.83959961
0.12100001 32152.08398438  706.05981445
0.12200001 32000.15234375  708.48339844
0.12300000 31848.03320312  829.32281494
0.12400001 31695.82226562  594.29669189
0.12500000 31543.42773438  894.25616455
0.12600000 31390.99609375  717.59820557
0.12700000 31238.42578125  659.75555420
0.12800001 31085.80273438  661.66131592
0.12900001 30933.08203125  784.15368652
0.13000001 30780.39648438  846.76879883
0.13100001 30627.63671875  606.42724609
0.13200000 30474.87890625  607.97381592
0.13300000 30322.16601562  670.42309570
0.13400000 30169.44531250  977.49005127
0.13500001 30016.82421875  673.57757568
0.13600001 29864.21484375  1043.30639648
0.13700001 29711.70117188  799.54193115
0.13800001 29559.34765625  739.57495117
0.13900001 29407.05273438  802.81262207
0.14000000 29254.91406250  804.36389160
0.14100000 29102.96289062  867.85034180
0.14200000 28951.12500000  745.20196533
0.14300001 28799.52539062  684.27673340
